Title,Variables,Page URL,Example Questions
"The Federal Civilian Workforce Over Time","Department, Agency, Subagency, Fiscal Year (range)","https://data.opm.gov/explore-data/analytics/workforce-size-and-composition","How has the total federal workforce size changed over the past decade? What is the trend in employee count for a specific agency?"
"Federal Workforce by Agency and Occupation","Department, Agency, Subagency, Occupational Series","https://data.opm.gov/explore-data/analytics/workforce-size-and-composition","Which agencies employ the most IT specialists? How does workforce distribution vary across different occupational series?"
"Federal Workforce by Appointment Type","Department, Agency, Subagency, Service Type (Competitive/Excepted), Permanent/Temporary status","https://data.opm.gov/explore-data/analytics/workforce-size-and-composition","What percentage of federal employees are in permanent vs. temporary positions? Which agencies rely most heavily on non-permanent staff?"
"Federal Workforce by Bargaining Unit Status","Department, Agency, Subagency, Bargaining Unit Eligibility, Date Range (month/year)","https://data.opm.gov/explore-data/analytics/workforce-size-and-composition","What proportion of employees are union-eligible but not in a bargaining unit? How has bargaining unit membership trended over time?"
"Federal Workforce Changes Over Time","Department, Agency, Subagency, Fiscal Year (range)","https://data.opm.gov/explore-data/analytics/workforce-changes","What is the net change in federal employment year over year? During which fiscal years did the workforce grow or shrink the most?"
"Federal Workforce Changes by Agency","Department, Agency, Subagency, Fiscal Year (range)","https://data.opm.gov/explore-data/analytics/workforce-changes","Which agencies experienced the largest workforce changes? How do workforce changes compare across departments?"
"Separations and Accessions Since January 20, 2025","Department, Agency, Subagency, Occupational Series, Separation/Accession Action Types","https://data.opm.gov/explore-data/analytics/workforce-changes","What is the net hiring vs. separation balance since the new administration? Which occupational series have seen the most separations?"
"Separations and Accessions Over Time","Department, Agency, Subagency, Personnel Action Type, Specific Action (e.g., New Hire), Fiscal Year","https://data.opm.gov/explore-data/analytics/workforce-changes","What are the historical trends in new hires vs. retirements? When do agencies typically see the highest turnover?"
"Federal Workforce by Pay Plan and Grade","Department, Agency, Subagency, Fiscal Year","https://data.opm.gov/explore-data/analytics/compensation-performance-leave","What is the distribution of employees across GS grades? How does pay grade composition differ by agency?"
"Salary Distribution by Agency and Series","Department, Agency, Subagency, Occupational Series, Fiscal Year","https://data.opm.gov/explore-data/analytics/compensation-performance-leave","What is the average salary for a specific occupational series? Which agencies pay the highest salaries for comparable positions?"
"Performance Ratings Distribution","Department, Agency, Rating Pattern (e.g., Pattern H, Pattern A), Fiscal Year","https://data.opm.gov/explore-data/analytics/compensation-performance-leave","What percentage of employees receive the highest performance ratings? How do performance ratings vary across departments?"
"Use of Administrative Leave","Department, Administrative Leave Type, Pay Period Date Range","https://data.opm.gov/explore-data/analytics/compensation-performance-leave","How much administrative leave is being used for investigations? What are the trends in administrative leave usage over time?"
"Current Job Announcements by Agency","Department, Agency, Subagency, Occupational Series, Hiring Path","https://data.opm.gov/explore-data/analytics/federal-recruitment","Which agencies currently have the most open positions? What types of jobs are federal agencies actively recruiting for?"
"Current Job Announcements by Location","Department, Agency, Subagency, Occupational Series, Hiring Path, Location","https://data.opm.gov/explore-data/analytics/federal-recruitment","Where are federal jobs currently available geographically? Which regions have the most federal hiring opportunities?"
"Job Announcements Over Time","Department, Agency, Subagency, Occupational Series, Hiring Path, Fiscal Year Range","https://data.opm.gov/explore-data/analytics/federal-recruitment","How has federal hiring activity changed over time? Is the government expanding or contracting recruitment efforts?"
"Employees by Age","Department, Agency, Subagency, Age Groups","https://data.opm.gov/explore-data/analytics/demographics","What is the age distribution of the federal workforce? Which agencies have the youngest or oldest workforce?"
"Employees by Retirement Eligibility","Department, Agency, Subagency, Occupational Series, Eligibility Timeframe (now vs. 10 years)","https://data.opm.gov/explore-data/analytics/demographics","What percentage of employees are currently eligible to retire? How many employees will become retirement-eligible in the next decade?"
"Employees by Veteran Status","Department, Agency, Subagency, Veteran Status Categories","https://data.opm.gov/explore-data/analytics/demographics","What proportion of federal employees are veterans? Which agencies have the highest veteran employment rates?"
"Employees by Education Level","Department, Agency, Subagency, Occupational Series, Education Level","https://data.opm.gov/explore-data/analytics/demographics","What is the educational attainment profile of the federal workforce? Which occupations require the highest education levels?"
"Distribution of Employees by Location","Department, Agency, Subagency","https://data.opm.gov/explore-data/analytics/location","Where are federal employees located geographically? What is the concentration of federal workers by state?"
"Location by Agency and State","Department, Agency, Subagency, State, Fiscal Year","https://data.opm.gov/explore-data/analytics/location","Which states have the largest presence of a specific agency? How has geographic distribution of employees changed over time?"
"Telework and Remote Work Over Time","Department, Hours Type (e.g., Situational Telework), Pay Period Date Range","https://data.opm.gov/explore-data/analytics/location","How have telework patterns changed since return-to-office directives? What percentage of work hours are performed remotely?"
